"Id Tipo Medición","Tipo Medición",Conformidad,Operación,Provincia,Cantón,Distrito,"Código DTA",Año,X,Y
SD,SD,SÍ,ICE,LIMÓN,POCOCÍ,CARIARI,70205,2021,"533066.15000000037 "," 1149066.67"
SD,SD,SÍ,ICE,LIMÓN,POCOCÍ,CARIARI,70205,2021,"533435.90000000037 "," 1148915.5999999996"
SD,SD,SÍ,ICE,LIMÓN,POCOCÍ,CARIARI,70205,2021,"530640.83999999985 "," 1146339.3900000006"
SD,SD,SÍ,ICE,LIMÓN,POCOCÍ,JIMÉNEZ,70202,2021,"533024.54999999981 "," 1134877.0299999993"
SD,SD,SÍ,ICE,LIMÓN,POCOCÍ,JIMÉNEZ,70202,2021,"533024.54999999981 "," 1134877.0299999993"
SD,SD,SÍ,ICE,PUNTARENAS,ESPARZA,"ESPÍRITU SANTO",60201,2021,"427234.0700000003 "," 1105505.67"
SD,SD,SÍ,ICE,PUNTARENAS,ESPARZA,"ESPÍRITU SANTO",60201,2021,"427089.37999999989 "," 1105475.1799999997"
SD,SD,SÍ,ICE,PUNTARENAS,ESPARZA,"SAN RAFAEL",60204,2021,"430902.04999999981 "," 1100796.3200000003"
SD,SD,SÍ,JASEC,CARTAGO,CARTAGO,"LLANO GRANDE",30110,2021,"509475.59609999973 "," 1098716.1889999993"
SD,SD,SÍ,JASEC,CARTAGO,CARTAGO,"LLANO GRANDE",30110,2021,"507338.94359999988 "," 1098260.0390000008"
SD,SD,SÍ,JASEC,CARTAGO,OREAMUNO,"SANTA ROSA",30705,2021,"517429.8685999997 "," 1097696.4399999995"
SD,SD,SÍ,JASEC,CARTAGO,CARTAGO,"TIERRA BLANCA",30108,2021,"511581.31130000018 "," 1095607.3809999991"
SD,SD,SÍ,JASEC,CARTAGO,CARTAGO,"TIERRA BLANCA",30108,2021,"511634.88370000012 "," 1095423.034"
SD,SD,SÍ,JASEC,CARTAGO,OREAMUNO,"POTRERO CERRADO",30703,2021,"511909.51339999959 "," 1093948.8739999998"
SD,SD,SÍ,JASEC,CARTAGO,CARTAGO,"SAN NICOLÁS",30104,2021,"508060.3306 "," 1093825.0620000008"
SD,SD,SÍ,JASEC,CARTAGO,OREAMUNO,"SAN RAFAEL",30701,2021,"512096.11000000034 "," 1093442.4049999993"
SD,SD,SÍ,JASEC,CARTAGO,OREAMUNO,"SAN RAFAEL",30701,2021,"511470.27489999961 "," 1093356.7119999994"
SD,SD,SÍ,JASEC,CARTAGO,OREAMUNO,COT,30702,2021,"514573.36550000031 "," 1093126.4489999991"
SD,SD,SÍ,JASEC,CARTAGO,CARTAGO,CARMEN,30103,2021,"508839.22800000012 "," 1092666.1950000003"
SD,SD,SÍ,JASEC,CARTAGO,OREAMUNO,COT,30702,2021,"515107.31350000016 "," 1092641.9230000004"
SD,SD,SÍ,JASEC,CARTAGO,CARTAGO,"SAN NICOLÁS",30104,2021,"508652.80150000006 "," 1092628.5470000003"
SD,SD,SÍ,JASEC,CARTAGO,CARTAGO,"SAN NICOLÁS",30104,2021,"507168.23570000008 "," 1092577.1309999991"
SD,SD,SÍ,JASEC,CARTAGO,CARTAGO,CARMEN,30103,2021,"508894.11060000025 "," 1092466.0289999992"
SD,SD,SÍ,JASEC,CARTAGO,CARTAGO,CARMEN,30103,2021,"510087.31520000007 "," 1092426.3029999994"
