Mes,Año,Empresa,Tarifa,Abonados,Ventas,"Ingreso sin CVG","Ingreso con CVG","Precio Medio sin CVG","Precio Medio con CVG",Trimestre,Sistema,Trimestral
"Diciembre ",2023,CNFL,"Alumbrado Público",0,5467479.28,312890330.07,312890330.07,57.23,57.23,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,COOPEGUANACASTE,Residencial,76561,25609555.28,2186760000,2186760000,85.39,85.39,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,COOPEALFARORUIZ,Residencial,6225,1546316,127099200,127099200,82.19,82.19,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,CNFL,Residencial,525445,122667228,10028690000,10028680000,81.76,81.76,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,"TOTAL NACIONAL",Promocional,33,755705,71695725,71695725,94.87,94.87,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,CNFL,Promocional,33,755705,71695725,71695725,94.87,94.87,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,"TOTAL NACIONAL",Preferencial,11792,27607725.96,1993772970,1993772970,72.22,72.22,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,COOPELESCA,Residencial,99857,18170516.18,1550237000,1550237000,85.32,85.32,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,JASEC,Preferencial,603,918677,57750710,57750710,62.86,62.86,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,ESPH,Preferencial,876,3505824,221382340,221382340,63.15,63.15,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,COOPESANTOS,Preferencial,438,141054.96,18997420,18997420,134.68,134.68,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,CNFL,Preferencial,3090,9635310,618197900,618197900,64.16,64.16,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,"TOTAL NACIONAL","Media tensión b",305,105422477.64,6359519500,6359519500,60.32,60.32,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,ESPH,"Media tensión b",9,8272284,475890300,475890300,57.53,57.53,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,ICE,"Media tensión b",168,59650320,3425992000,3425992000,57.43,57.43,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,ICE,Preferencial,6785,13406860,1077444600,1077444600,80.37,80.37,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,JASEC,"Media tensión b",15,9773018,607904100,607904100,62.2,62.2,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,COOPESANTOS,Residencial,47466,6868922.8,619838700,619838700,90.24,90.24,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,ICE,Residencial,774404,148052988,13008610000,13008610000,87.86,87.86,"IV Trimestre",Distribucion,"2023 4"
"Diciembre ",2023,ESPH,"Ventas al servicio de Distribución",0,25644826,1282842472.79,1282842472.79,50.02,50.02,"IV Trimestre",Generacion,"2023 4"
"Diciembre ",2023,COOPESANTOS,"Ventas al servicio de Distribución",0,4324542,244030496.37,244030496.37,56.43,56.43,"IV Trimestre",Generacion,"2023 4"
"Diciembre ",2023,COOPELESCA,"Ventas al servicio de Distribución",0,10099399,436816719.92,436816719.92,43.25,43.25,"IV Trimestre",Generacion,"2023 4"
"Diciembre ",2023,COOPEGUANACASTE,"Ventas al servicio de Distribución",0,22900724,1172527633.81,1172527633.81,51.2,51.2,"IV Trimestre",Generacion,"2023 4"
"Diciembre ",2023,COOPEALFARORUIZ,"Ventas al servicio de Distribución",0,1738920,83859897.49,83859897.49,48.23,48.23,"IV Trimestre",Generacion,"2023 4"
