"Mes Cód",Expediente,Resolución,"Fecha de Publicación",Mes,Año,Empresa,"Tipo Tarifa","Descripción Tarifa",Bloque,Tarifa,Pliego
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,COOPEALFARORUIZ,T-RP,"Tarifa residencial modalidad prepago","c. Bloque mayor a 200 kWh ",100.81,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,COOPELESCA,T-RP,"Tarifa residencial modalidad prepago","j. Bloque mayor a 391 kWh ",97.48,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,COOPELESCA,T-CO,"COMERCIOS Y SERVICIOS","a. Consumo de Energía menor o igual a 3000 kWh",97.48,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,COOPELESCA,T-RP,"Tarifa residencial modalidad prepago","g. Bloque 271-390 kWh ",7300.48,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,COOPELESCA,T-RP,"Tarifa residencial modalidad prepago","h. Bloque 271-390 kWh ",84.03,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,COOPELESCA,T-RP,"Tarifa residencial modalidad prepago","i. Bloque mayor a 391 kWh ",12895,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,COOPELESCA,T-CO,"COMERCIOS Y SERVICIOS","e. Bloque mayor a 10 kW ",4801.1,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,COOPELESCA,T-IN,INDUSTRIAL,"a. Consumo de Energía menor o igual a 3000 kWh",100,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,COOPELESCA,T-CO,"COMERCIOS Y SERVICIOS","b. Bloque 0-3000 kWh",237780,"Gaceta 237, Alcance 257"
12,ET-103-2023,RE-0164-IE-2023,21-12-2023,"Diciembre ",2024,COOPELESCA,T-CO,"COMERCIOS Y SERVICIOS","d. Bloque 0-10 kW ",48011,"Gaceta 237, Alcance 257"
