idHistoricoTarifas,"Tipo Vehículo","Tipo Revisión","Fecha Rige Tarifa","Tarifa Mínima ¢","Tarifa Máxima ¢","Número Resolución","Fecha Publicación",Expediente
127,"Vehículo peso menor 3,5 ton (inspección)",Inspección,22-04-2023,6348,7015,RE-0018-IT-2023,21-04-2023,ET-010-2023
128,"Vehículo peso mayor 3,5 ton (inspección)",Inspección,22-04-2023,8361,9240,RE-0018-IT-2023,21-04-2023,ET-010-2023
129,"Taxis (inspección)",Inspección,22-04-2023,6849,7568,RE-0018-IT-2023,21-04-2023,ET-010-2023
130,"Buses (bus, buseta, microbús) (inspección)",Inspección,22-04-2023,8361,9240,RE-0018-IT-2023,21-04-2023,ET-010-2023
131,"Motocicletas (inspección)",Inspección,22-04-2023,4183,4622,RE-0018-IT-2023,21-04-2023,ET-010-2023
132,"Equipo especial (grúas, maq. de obra)(inspección)",Inspección,22-04-2023,8361,9240,RE-0018-IT-2023,21-04-2023,ET-010-2023
133,"Equipo especial (maq. agrícola) (inspección)",Inspección,22-04-2023,3850,4254,RE-0018-IT-2023,21-04-2023,ET-010-2023
134,"Vehículo peso menor 3,5 ton (reinspección)",Reinspección,22-04-2023,1701,1879,RE-0018-IT-2023,21-04-2023,ET-010-2023
135,"Vehículo peso mayor 3,5 ton (reinspección)",Reinnspección,22-04-2023,2240,2475,RE-0018-IT-2023,21-04-2023,ET-010-2023
136,"Taxis (reinspección)",Reinnspección,22-04-2023,1835,2027,RE-0018-IT-2023,21-04-2023,ET-010-2023
137,"Buses (bus, buseta, microbús) (reinspección)",Reinnspección,22-04-2023,2240,2475,RE-0018-IT-2023,21-04-2023,ET-010-2023
138,"Motocicletas (reinspección)",Reinnspección,22-04-2023,1121,1238,RE-0018-IT-2023,21-04-2023,ET-010-2023
139,"Equip especial(grúas, maq. de obra) (reinspección)",Reinnspección,22-04-2023,2240,2475,RE-0018-IT-2023,21-04-2023,ET-010-2023
140,"Equipo especial(maq. agrícola) (reinspección)",Reinnspección,22-04-2023,1031,1140,RE-0018-IT-2023,21-04-2023,ET-010-2023
113,"Vehículo peso menor 3,5 ton (inspección)",Inspección,21-10-2022,6445,7156,RE-0101-IT-2022,20-10-2022,ET-052-2022
114,"Vehículo peso mayor 3,5 ton (inspección)",Inspección,21-10-2022,8489,9425,RE-0101-IT-2022,20-10-2022,ET-052-2022
115,"Taxis (inspección)",Inspección,21-10-2022,6953,7720,RE-0101-IT-2022,20-10-2022,ET-052-2022
116,"Buses (bus, buseta, microbús) (inspección)",Inspección,21-10-2022,8489,9425,RE-0101-IT-2022,20-10-2022,ET-052-2022
117,"Motocicletas (inspección)",Inspección,21-10-2022,4247,4715,RE-0101-IT-2022,20-10-2022,ET-052-2022
